Unnamed: 0,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
64,956,1,1,13.0,2,2,262.375,2,0
65,957,2,2,28.0,0,0,21.0,1,1
66,958,3,2,18.0,0,0,7.8792,3,1
67,959,1,1,47.0,0,0,42.4,1,0
68,960,1,1,31.0,0,0,28.5375,2,0
69,961,1,2,60.0,1,4,263.0,1,1
70,962,3,2,24.0,0,0,7.75,3,1
71,963,3,1,21.0,0,0,7.8958,1,0
72,964,3,2,29.0,0,0,7.925,1,1
73,965,1,1,28.5,0,0,27.7208,2,0
74,966,1,2,35.0,0,0,211.5,2,1
75,967,1,1,32.5,0,0,211.5,2,0
76,968,3,1,28.0,0,0,8.05,1,0
77,969,1,2,55.0,2,0,25.7,1,1
78,970,2,1,30.0,0,0,13.0,1,0
79,971,3,2,24.0,0,0,7.75,3,1
80,972,3,1,6.0,1,1,15.2458,2,1
81,973,1,1,67.0,1,0,221.7792,1,0
82,974,1,1,49.0,0,0,26.0,1,0
83,975,3,1,28.0,0,0,7.8958,1,0
84,976,2,1,28.0,0,0,10.7083,3,0
85,977,3,1,28.0,1,0,14.4542,2,0
86,978,3,2,27.0,0,0,7.8792,3,1
87,979,3,2,18.0,0,0,8.05,1,1
88,980,3,2,28.0,0,0,7.75,3,1
89,981,2,1,2.0,1,1,23.0,1,1
90,982,3,2,22.0,1,0,13.9,1,0
91,983,3,1,28.0,0,0,7.775,1,0
92,984,1,2,27.0,1,2,52.0,1,1
93,985,3,1,28.0,0,0,8.05,1,0
94,986,1,1,25.0,0,0,26.0,2,0
95,987,3,1,25.0,0,0,7.7958,1,0
96,988,1,2,76.0,1,0,78.85,1,1
97,989,3,1,29.0,0,0,7.925,1,0
98,990,3,2,20.0,0,0,7.8542,1,1
99,991,3,1,33.0,0,0,8.05,1,0
100,992,1,2,43.0,1,0,55.4417,2,1
101,993,2,1,27.0,1,0,26.0,1,0
102,994,3,1,28.0,0,0,7.75,3,0
103,995,3,1,26.0,0,0,7.775,1,0
104,996,3,2,16.0,1,1,8.5167,2,1
105,997,3,1,28.0,0,0,22.525,1,0
106,998,3,1,21.0,0,0,7.8208,3,0
107,999,3,1,28.0,0,0,7.75,3,0
108,1000,3,1,28.0,0,0,8.7125,1,0
109,1001,2,1,18.5,0,0,13.0,1,0
110,1002,2,1,41.0,0,0,15.0458,2,0
111,1003,3,2,28.0,0,0,7.7792,3,1
112,1004,1,2,36.0,0,0,31.6792,2,1
113,1005,3,2,18.5,0,0,7.2833,3,1
114,1006,1,2,63.0,1,0,221.7792,1,1
115,1007,3,1,18.0,1,0,14.4542,2,0
116,1008,3,1,28.0,0,0,6.4375,2,0
117,1009,3,2,1.0,1,1,16.7,1,1
118,1010,1,1,36.0,0,0,75.2417,2,0
119,1011,2,2,29.0,1,0,26.0,1,1
120,1012,2,2,12.0,0,0,15.75,1,1
121,1013,3,1,28.0,1,0,7.75,3,0
122,1014,1,2,35.0,1,0,57.75,2,1
123,1015,3,1,28.0,0,0,7.25,1,0
124,1016,3,1,28.0,0,0,7.75,3,0
125,1017,3,2,17.0,0,1,16.1,1,1
126,1018,3,1,22.0,0,0,7.7958,1,0
127,1019,3,2,28.0,2,0,23.25,3,1
128,1020,2,1,42.0,0,0,13.0,1,0
129,1021,3,1,24.0,0,0,8.05,1,0
130,1022,3,1,32.0,0,0,8.05,1,0
131,1023,1,1,53.0,0,0,28.5,2,0
132,1024,3,2,28.0,0,4,25.4667,1,0
133,1025,3,1,28.0,1,0,6.4375,2,0
134,1026,3,1,43.0,0,0,7.8958,1,0
135,1027,3,1,24.0,0,0,7.8542,1,0
136,1028,3,1,26.5,0,0,7.225,2,0
137,1029,2,1,26.0,0,0,13.0,1,0
138,1030,3,2,23.0,0,0,8.05,1,0
139,1031,3,1,40.0,1,6,46.9,1,0
140,1032,3,2,10.0,5,2,46.9,1,0
141,1033,1,2,33.0,0,0,151.55,1,1
142,1034,1,1,61.0,1,3,262.375,2,0
143,1035,2,1,28.0,0,0,26.0,1,0
144,1036,1,1,42.0,0,0,26.55,1,0
145,1037,3,1,31.0,3,0,18.0,1,0
146,1038,1,1,28.0,0,0,51.8625,1,0
147,1039,3,1,22.0,0,0,8.05,1,0
148,1040,1,1,28.0,0,0,26.55,1,0
149,1041,2,1,30.0,1,1,26.0,1,0
150,1042,1,2,23.0,0,1,83.1583,2,1
151,1043,3,1,28.0,0,0,7.8958,2,0
152,1044,3,1,60.5,0,0,14.4542,1,0
153,1045,3,2,36.0,0,2,12.1833,1,0
154,1046,3,1,13.0,4,2,31.3875,1,0
155,1047,3,1,24.0,0,0,7.55,1,0
156,1048,1,2,29.0,0,0,221.7792,1,1
157,1049,3,2,23.0,0,0,7.8542,1,1
158,1050,1,1,42.0,0,0,26.55,1,0
159,1051,3,2,26.0,0,2,13.775,1,0
160,1052,3,2,28.0,0,0,7.7333,3,1
161,1053,3,1,7.0,1,1,15.2458,2,1
162,1054,2,2,26.0,0,0,13.5,1,1
163,1055,3,1,28.0,0,0,7.0,1,0
164,1056,2,1,41.0,0,0,13.0,1,0
165,1057,3,2,26.0,1,1,22.025,1,0
166,1058,1,1,48.0,0,0,50.4958,2,0
167,1059,3,1,18.0,2,2,34.375,1,0
168,1060,1,2,28.0,0,0,27.7208,2,1
169,1061,3,2,22.0,0,0,8.9625,1,0
170,1062,3,1,28.0,0,0,7.55,1,0
171,1063,3,1,27.0,0,0,7.225,2,0
172,1064,3,1,23.0,1,0,13.9,1,0
173,1065,3,1,28.0,0,0,7.2292,2,0
174,1066,3,1,40.0,1,5,31.3875,1,0
175,1067,2,2,15.0,0,2,39.0,1,1
176,1068,2,2,20.0,0,0,36.75,1,1
177,1069,1,1,54.0,1,0,55.4417,2,0
178,1070,2,2,36.0,0,3,39.0,1,1
179,1071,1,2,64.0,0,2,83.1583,2,1
180,1072,2,1,30.0,0,0,13.0,1,0
181,1073,1,1,37.0,1,1,83.1583,2,0
182,1074,1,2,18.0,1,0,53.1,1,1
183,1075,3,1,28.0,0,0,7.75,3,0
184,1076,1,2,27.0,1,1,247.5208,2,1
185,1077,2,1,40.0,0,0,16.0,1,0
186,1078,2,2,21.0,0,1,21.0,1,1
187,1079,3,1,17.0,2,0,8.05,1,0
188,1080,3,2,28.0,8,2,69.55,1,0
189,1081,2,1,40.0,0,0,13.0,1,0
190,1082,2,1,34.0,1,0,26.0,1,0
191,1083,1,1,28.0,0,0,26.0,1,0
192,1084,3,1,11.5,1,1,14.5,1,1
193,1085,2,1,61.0,0,0,12.35,3,0
194,1086,2,1,8.0,0,2,32.5,1,1
195,1087,3,1,33.0,0,0,7.8542,1,0
196,1088,1,1,6.0,0,2,134.5,2,1
197,1089,3,2,18.0,0,0,7.775,1,1
198,1090,2,1,23.0,0,0,10.5,1,0
199,1091,3,2,28.0,0,0,8.1125,1,0
200,1092,3,2,28.0,0,0,15.5,3,1
201,1093,3,1,0.33,0,2,14.4,1,1
202,1094,1,1,47.0,1,0,227.525,2,0
203,1095,2,2,8.0,1,1,26.0,1,1
204,1096,2,1,25.0,0,0,10.5,1,0
205,1097,1,1,28.0,0,0,25.7417,2,0
206,1098,3,2,35.0,0,0,7.75,3,1
207,1099,2,1,24.0,0,0,10.5,1,0
208,1100,1,2,33.0,0,0,27.7208,2,1
209,1101,3,1,25.0,0,0,7.8958,1,0
210,1102,3,1,32.0,0,0,22.525,1,0
211,1103,3,1,28.0,0,0,7.05,1,0
212,1104,2,1,17.0,0,0,73.5,1,0
213,1105,2,2,60.0,1,0,26.0,1,1
214,1106,3,2,38.0,4,2,7.775,1,0
215,1107,1,1,42.0,0,0,42.5,1,0
216,1108,3,2,28.0,0,0,7.8792,3,1
217,1109,1,1,57.0,1,1,164.8667,1,0
218,1110,1,2,50.0,1,1,211.5,2,1
219,1111,3,1,28.0,0,0,8.05,1,0
220,1112,2,2,30.0,1,0,13.8583,2,1
221,1113,3,1,21.0,0,0,8.05,1,0
222,1114,2,2,22.0,0,0,10.5,1,1
223,1115,3,1,21.0,0,0,7.7958,1,0
224,1116,1,2,53.0,0,0,27.4458,2,1
225,1117,3,2,28.0,0,2,15.2458,2,1
226,1118,3,1,23.0,0,0,7.7958,1,0
227,1119,3,2,28.0,0,0,7.75,3,1
228,1120,3,1,40.5,0,0,15.1,1,0
229,1121,2,1,36.0,0,0,13.0,1,0
230,1122,2,1,14.0,0,0,65.0,1,1
231,1123,1,2,21.0,0,0,26.55,1,1
232,1124,3,1,21.0,1,0,6.4958,1,0
233,1125,3,1,28.0,0,0,7.8792,3,0
234,1126,1,1,39.0,1,0,71.2833,2,0
235,1127,3,1,20.0,0,0,7.8542,1,0
236,1128,1,1,64.0,1,0,75.25,2,0
237,1129,3,1,20.0,0,0,7.225,2,0
238,1130,2,2,18.0,1,1,13.0,1,1
239,1131,1,2,48.0,1,0,106.425,2,1
240,1132,1,2,55.0,0,0,27.7208,2,1
241,1133,2,2,45.0,0,2,30.0,1,1
242,1134,1,1,45.0,1,1,134.5,2,0
243,1135,3,1,28.0,0,0,7.8875,1,0
244,1136,3,1,28.0,1,2,23.45,1,0
245,1137,1,1,41.0,1,0,51.8625,1,0
246,1138,2,2,22.0,0,0,21.0,1,1
247,1139,2,1,42.0,1,1,32.5,1,0
248,1140,2,2,29.0,1,0,26.0,1,1
249,1141,3,2,28.0,1,0,14.4542,2,0
250,1142,2,2,0.92,1,2,27.75,1,1
251,1143,3,1,20.0,0,0,7.925,1,0
252,1144,1,1,27.0,1,0,136.7792,2,0
253,1145,3,1,24.0,0,0,9.325,1,0
254,1146,3,1,32.5,0,0,9.5,1,0
255,1147,3,1,28.0,0,0,7.55,1,0
256,1148,3,1,28.0,0,0,7.75,3,0
257,1149,3,1,28.0,0,0,8.05,1,0
258,1150,2,2,19.0,0,0,13.0,1,1
259,1151,3,1,21.0,0,0,7.775,1,0
260,1152,3,1,36.5,1,0,17.4,1,0
261,1153,3,1,21.0,0,0,7.8542,1,0
262,1154,2,2,29.0,0,2,23.0,1,1
263,1155,3,2,1.0,1,1,12.1833,1,1
264,1156,2,1,30.0,0,0,12.7375,2,0
265,1157,3,1,28.0,0,0,7.8958,1,0
266,1158,1,1,28.0,0,0,0.0,1,0
267,1159,3,1,28.0,0,0,7.55,1,0
268,1160,3,2,28.0,0,0,8.05,1,1
269,1161,3,1,17.0,0,0,8.6625,1,0
270,1162,1,1,46.0,0,0,75.2417,2,0
271,1163,3,1,28.0,0,0,7.75,3,0
272,1164,1,2,26.0,1,0,136.7792,2,1
273,1165,3,2,28.0,1,0,15.5,3,1
274,1166,3,1,28.0,0,0,7.225,2,0
275,1167,2,2,20.0,1,0,26.0,1,1
276,1168,2,1,28.0,0,0,10.5,1,0
277,1169,2,1,40.0,1,0,26.0,1,0
278,1170,2,1,30.0,1,0,21.0,1,0
279,1171,2,1,22.0,0,0,10.5,1,0
280,1172,3,2,23.0,0,0,8.6625,1,0
281,1173,3,1,0.75,1,1,13.775,1,1
282,1174,3,2,28.0,0,0,7.75,3,1
283,1175,3,2,9.0,1,1,15.2458,2,1
284,1176,3,2,2.0,1,1,20.2125,1,1
285,1177,3,1,36.0,0,0,7.25,1,0
286,1178,3,1,28.0,0,0,7.25,1,0
287,1179,1,1,24.0,1,0,82.2667,1,0
288,1180,3,1,28.0,0,0,7.2292,2,0
289,1181,3,1,28.0,0,0,8.05,1,0
290,1182,1,1,28.0,0,0,39.6,1,0
291,1183,3,2,30.0,0,0,6.95,3,1
292,1184,3,1,28.0,0,0,7.2292,2,0
293,1185,1,1,53.0,1,1,81.8583,1,0
294,1186,3,1,36.0,0,0,9.5,1,0
295,1187,3,1,26.0,0,0,7.8958,1,0
296,1188,2,2,1.0,1,2,41.5792,2,1
297,1189,3,1,28.0,2,0,21.6792,2,0
298,1190,1,1,30.0,0,0,45.5,1,0
299,1191,3,1,29.0,0,0,7.8542,1,0
300,1192,3,1,32.0,0,0,7.775,1,0
301,1193,2,1,28.0,0,0,15.0458,2,0
302,1194,2,1,43.0,0,1,21.0,1,0
303,1195,3,1,24.0,0,0,8.6625,1,0
304,1196,3,2,28.0,0,0,7.75,3,1
305,1197,1,2,64.0,1,1,26.55,1,1
306,1198,1,1,30.0,1,2,151.55,1,0
307,1199,3,1,0.83,0,1,9.35,1,1
308,1200,1,1,55.0,1,1,93.5,1,0
309,1201,3,2,45.0,1,0,14.1083,1,0
310,1202,3,1,18.0,0,0,8.6625,1,0
311,1203,3,1,22.0,0,0,7.225,2,0
312,1204,3,1,28.0,0,0,7.575,1,0
313,1205,3,2,37.0,0,0,7.75,3,1
314,1206,1,2,55.0,0,0,135.6333,2,1
315,1207,3,2,17.0,0,0,7.7333,3,1
316,1208,1,1,57.0,1,0,146.5208,2,0
317,1209,2,1,19.0,0,0,10.5,1,0
318,1210,3,1,27.0,0,0,7.8542,1,0
319,1211,2,1,22.0,2,0,31.5,1,0
320,1212,3,1,26.0,0,0,7.775,1,0
321,1213,3,1,25.0,0,0,7.2292,2,0
322,1214,2,1,26.0,0,0,13.0,1,0
323,1215,1,1,33.0,0,0,26.55,1,1
324,1216,1,2,39.0,0,0,211.3375,1,1
325,1217,3,1,23.0,0,0,7.05,1,0
326,1218,2,2,12.0,2,1,39.0,1,1
327,1219,1,1,46.0,0,0,79.2,2,0
328,1220,2,1,29.0,1,0,26.0,1,0
329,1221,2,1,21.0,0,0,13.0,1,0
330,1222,2,2,48.0,0,2,36.75,1,1
331,1223,1,1,39.0,0,0,29.7,2,0
332,1224,3,1,28.0,0,0,7.225,2,0
333,1225,3,2,19.0,1,1,15.7417,2,1
334,1226,3,1,27.0,0,0,7.8958,1,0
335,1227,1,1,30.0,0,0,26.0,1,0
336,1228,2,1,32.0,0,0,13.0,1,0
337,1229,3,1,39.0,0,2,7.2292,2,0
338,1230,2,1,25.0,0,0,31.5,1,0
339,1231,3,1,28.0,0,0,7.2292,2,0
340,1232,2,1,18.0,0,0,10.5,1,0
341,1233,3,1,32.0,0,0,7.5792,1,0
342,1234,3,1,28.0,1,9,69.55,1,0
343,1235,1,2,58.0,0,1,512.3292,2,1
344,1236,3,1,28.0,1,1,14.5,1,0
345,1237,3,2,16.0,0,0,7.65,1,1
346,1238,2,1,26.0,0,0,13.0,1,0
347,1239,3,2,38.0,0,0,7.2292,2,1
348,1240,2,1,24.0,0,0,13.5,1,0
349,1241,2,2,31.0,0,0,21.0,1,1
350,1242,1,2,45.0,0,1,63.3583,2,1
351,1243,2,1,25.0,0,0,10.5,1,0
352,1244,2,1,18.0,0,0,73.5,1,0
353,1245,2,1,49.0,1,2,65.0,1,0
354,1246,3,2,0.17,1,2,20.575,1,1
355,1247,1,1,50.0,0,0,26.0,1,0
356,1248,1,2,59.0,2,0,51.4792,1,1
357,1249,3,1,28.0,0,0,7.8792,1,0
358,1250,3,1,28.0,0,0,7.75,3,0
359,1251,3,2,30.0,1,0,15.55,1,0
360,1252,3,1,14.5,8,2,69.55,1,0
361,1253,2,2,24.0,1,1,37.0042,2,1
362,1254,2,2,31.0,0,0,21.0,1,1
363,1255,3,1,27.0,0,0,8.6625,1,0
364,1256,1,2,25.0,1,0,55.4417,2,1
365,1257,3,2,28.0,1,9,69.55,1,0
366,1258,3,1,28.0,1,0,14.4583,2,0
367,1259,3,2,22.0,0,0,39.6875,1,0
368,1260,1,2,45.0,0,1,59.4,2,1
369,1261,2,1,29.0,0,0,13.8583,2,0
370,1262,2,1,21.0,1,0,11.5,1,0
371,1263,1,2,31.0,0,0,134.5,2,1
372,1264,1,1,49.0,0,0,0.0,1,0
373,1265,2,1,44.0,0,0,13.0,1,0
374,1266,1,2,54.0,1,1,81.8583,1,1
375,1267,1,2,45.0,0,0,262.375,2,1
376,1268,3,2,22.0,2,0,8.6625,1,0
377,1269,2,1,21.0,0,0,11.5,1,0
378,1270,1,1,55.0,0,0,50.0,1,0
379,1271,3,1,5.0,4,2,31.3875,1,0
380,1272,3,1,28.0,0,0,7.75,3,0
381,1273,3,1,26.0,0,0,7.8792,3,0
382,1274,3,2,28.0,0,0,14.5,1,0
383,1275,3,2,19.0,1,0,16.1,1,1
384,1276,2,1,28.0,0,0,12.875,1,0
385,1277,2,2,24.0,1,2,65.0,1,1
386,1278,3,1,24.0,0,0,7.775,1,0
387,1279,2,1,57.0,0,0,13.0,1,0
388,1280,3,1,21.0,0,0,7.75,3,0
389,1281,3,1,6.0,3,1,21.075,1,0
390,1282,1,1,23.0,0,0,93.5,1,0
391,1283,1,2,51.0,0,1,39.4,1,1
392,1284,3,1,13.0,0,2,20.25,1,1
393,1285,2,1,47.0,0,0,10.5,1,0
394,1286,3,1,29.0,3,1,22.025,1,0
395,1287,1,2,18.0,1,0,60.0,1,1
396,1288,3,1,24.0,0,0,7.25,3,0
397,1289,1,2,48.0,1,1,79.2,2,1
398,1290,3,1,22.0,0,0,7.775,1,0
399,1291,3,1,31.0,0,0,7.7333,3,0
400,1292,1,2,30.0,0,0,164.8667,1,1
401,1293,2,1,38.0,1,0,21.0,1,0
402,1294,1,2,22.0,0,1,59.4,2,1
403,1295,1,1,17.0,0,0,47.1,1,0
404,1296,1,1,43.0,1,0,27.7208,2,0
405,1297,2,1,20.0,0,0,13.8625,2,0
406,1298,2,1,23.0,1,0,10.5,1,0
407,1299,1,1,50.0,1,1,211.5,2,0
408,1300,3,2,28.0,0,0,7.7208,3,1
409,1301,3,2,3.0,1,1,13.775,1,1
410,1302,3,2,28.0,0,0,7.75,3,1
411,1303,1,2,37.0,1,0,90.0,3,1
412,1304,3,2,28.0,0,0,7.775,1,0
413,1305,3,1,28.0,0,0,8.05,1,0
414,1306,1,2,39.0,0,0,108.9,2,1
415,1307,3,1,38.5,0,0,7.25,1,0
416,1308,3,1,28.0,0,0,8.05,1,0
417,1309,3,1,28.0,1,1,22.3583,2,0
